视频标题,URL,UP主,集数,估计时长(小时),覆盖技能(;分隔),难度,技能方向,备注
【全网炸裂】3天速通大模型：Prompt/LangChain/RAG/Agent/微调,https://www.bilibili.com/video/BV1hy5YzaErV/,大模型--,71,20,llm;prompt_engineering;langchain;rag;agent;lora_finetune;vector_db,beginner,综合,播放量484.8万；覆盖最全；推荐首选入门合集
【全748集】B站最全AI大模型零基础全套教程2025最新版,https://www.bilibili.com/video/BV1uNk1YxEJQ/,大模型官方课程,748,120,llm;prompt_engineering;transformer;rag;agent;langchain;lora_finetune,beginner,综合,播放量363.8万；体量极大适合系统学习
吴恩达大模型教程 DeepLearning.ai（中英双语附课件代码）,https://www.bilibili.com/video/BV1Bq421A74G/,吴恩达机器学习,22,20,llm;prompt_engineering;rag;agent;langchain;pytorch,intermediate,综合,播放量248.3万；吴恩达官方课程中文版
【零基础玩转RAG】全网最通俗易懂的RAG教程从入门到实战,https://www.bilibili.com/video/BV1hMMuzEEVe/,大模型RAG教程,17,3,rag;langchain;vector_db,beginner,rag,播放量89万；RAG专项；手把手搭建知识库
2025年公认最好的大模型RAG教程（吴恩达进阶版附课件）,https://www.bilibili.com/video/BV1QRbnzTEyK/,吴恩达深度学习,48,6,rag;agent;vector_db,intermediate,rag,播放量10.8万；高级RAG专项：句子窗口/Agentic RAG/知识图谱
【KAG】知识增强式生成 - 比RAG更强大的检索推理框架,https://www.bilibili.com/video/BV1f9kZYgEnL/,五里墩茶社,1,0.3,rag,advanced,rag,播放量6万；单集扩展知识；RAG进阶对比视角
2小时彻底掌握提示词工程Prompt Engineering（草履虫也能懂）,https://www.bilibili.com/video/BV1n9CwYoEro/,吴恩达langchain,8,2,prompt_engineering;llm,beginner,prompt_engineering,播放量28.4万；Prompt专项入门；2小时速成
【吴恩达】2025年公认最好的提示词工程教程（附课件代码）,https://www.bilibili.com/video/BV1173jzNELG/,吴恩达深度学习,10,1.5,prompt_engineering;llm,beginner,prompt_engineering,播放量27.4万；吴恩达官方Prompt课程
B站最好的提示词工程教程2025（全88集系统课）,https://www.bilibili.com/video/BV19psRzpEPX/,大模型学习教程,88,20,prompt_engineering;agent;rag;langchain;lora_finetune,beginner,prompt_engineering,播放量21.7万；超大体量系统课；含Agent/RAG/LoRA
支持多种向量数据库的100%本地化知识库 Milvus+ChatOllama,https://www.bilibili.com/video/BV1af421o79z/,五里墩茶社,1,0.2,vector_db;rag,intermediate,vector_db,播放量32.3万；实操演示Milvus接入；适合工程实战
