resource_id,title,full_name,url,description,author,stars,forks,language_prog,language_content,skills_keywords,difficulty,topics,updated_at,license
github_0012,ragflow,infiniflow/ragflow,https://github.com/infiniflow/ragflow,RAGFlow is a leading open-source Retrieval-Augmented Generation (RAG) engine that fuses cutting-edge RAG with Agent capabilities to create a superior context layer for LLMs,infiniflow,81388,9335,Python,en,RAG;检索增强生成;向量数据库,intermediate,agentic-ai;agentic-retrieval;agentic-search;ai;ai-agents;context-engine;context-management;llm-apps;rag;retrieval-augmented-generation,2026-05-28,Apache-2.0
github_0020,Prompt-Engineering-Guide,dair-ai/Prompt-Engineering-Guide,https://github.com/dair-ai/Prompt-Engineering-Guide,"🐙 Guides, papers, lessons, notebooks and resources for prompt engineering, context engineering, RAG, and AI Agents.",dair-ai,75014,8123,MDX,en,Prompt Engineering;提示词工程,intermediate,agent;agents;ai-agents;chatgpt;deep-learning;generative-ai;language-model;llms;openai;prompt-engineering,2026-05-28,MIT
github_0071,LlamaFactory,hiyouga/LlamaFactory,https://github.com/hiyouga/LlamaFactory,Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024),hiyouga,71658,8754,Python,en,大模型微调;LoRA;QLoRA,intermediate,agent;ai;deepseek;fine-tuning;gemma;gpt;instruction-tuning;large-language-models;llama;llama3,2026-05-28,Apache-2.0
github_0013,LightRAG,HKUDS/LightRAG,https://github.com/HKUDS/LightRAG,"[EMNLP2025] ""LightRAG: Simple and Fast Retrieval-Augmented Generation""",HKUDS,35866,5064,Python,en,RAG;检索增强生成;向量数据库,intermediate,genai;gpt;gpt-4;graphrag;knowledge-graph;large-language-models;llm;rag;retrieval-augmented-generation,2026-05-28,MIT
github_0014,graphrag,microsoft/graphrag,https://github.com/microsoft/graphrag,A modular graph-based Retrieval-Augmented Generation (RAG) system,microsoft,33274,3515,Python,en,RAG;检索增强生成;向量数据库,intermediate,gpt;gpt-4;gpt4;graphrag;llm;llms;rag,2026-05-28,MIT
github_0000,RAG_Techniques,NirDiamant/RAG_Techniques,https://github.com/NirDiamant/RAG_Techniques,This repository showcases various advanced techniques for Retrieval-Augmented Generation (RAG) systems. Each technique has a detailed notebook tutorial.,NirDiamant,27600,3318,Jupyter Notebook,en,向量数据库;检索增强生成;RAG;LLM应用;LangChain,advanced,ai;embeddings;langchain;llama-index;llm;llms;nlp;openai;python;rag,2026-05-28,NOASSERTION
github_0032,ai-engineering-from-scratch,rohitg00/ai-engineering-from-scratch,https://github.com/rohitg00/ai-engineering-from-scratch,Learn it. Build it. Ship it for others.,rohitg00,22678,3703,Python,en,大语言模型;LLM,intermediate,agents;ai;ai-agents;ai-engineering;computer-vision;course;deep-learning;from-scratch;generative-ai;llm,2026-05-28,MIT
github_0040,Awesome-Chinese-LLM,AiHubCN/Awesome-Chinese-LLM,https://github.com/AiHubCN/Awesome-Chinese-LLM,整理开源的中文大语言模型，以规模较小、可私有化部署、训练成本较低的模型为主，包括底座模型，垂直领域微调及应用，数据集与教程等。,AiHubCN,22581,2129,,zh,大语言模型;LLM,intermediate,awesome-lists;chatglm;chinese;llama;llm;nlp,2026-05-28,
github_0001,GenAI_Agents,NirDiamant/GenAI_Agents,https://github.com/NirDiamant/GenAI_Agents,"50+ tutorials and implementations for Generative AI Agent techniques, from basic conversational bots to complex multi-agent systems.",NirDiamant,22236,3713,Jupyter Notebook,en,LangChain;LLM应用,intermediate,agents;ai;ai-agents;genai;langchain;langgraph;llm;llms;multi-agent;openai,2026-05-28,NOASSERTION
github_0072,peft,huggingface/peft,https://github.com/huggingface/peft,🤗 PEFT: State-of-the-art Parameter-Efficient Fine-Tuning.,huggingface,21198,2309,Python,en,大模型微调;LoRA;QLoRA,intermediate,adapter;diffusion;fine-tuning;llm;lora;parameter-efficient-learning;peft;python;pytorch;transformers,2026-05-27,Apache-2.0
github_0087,pytorch-deep-learning,mrdbourke/pytorch-deep-learning,https://github.com/mrdbourke/pytorch-deep-learning,Materials for the Learn PyTorch for Deep Learning: Zero to Mastery course.,mrdbourke,17963,4937,Jupyter Notebook,en,深度学习;神经网络,intermediate,deep-learning;machine-learning;pytorch,2026-05-27,MIT
github_0073,leedl-tutorial,datawhalechina/leedl-tutorial,https://github.com/datawhalechina/leedl-tutorial,《李宏毅深度学习教程》（李宏毅老师推荐👍，苹果书🍎），PDF下载地址：https://github.com/datawhalechina/leedl-tutorial/releases,datawhalechina,16584,3100,Jupyter Notebook,zh,中文教程;数据科学;机器学习,intermediate,bert;chatgpt;cnn;deep-learning;diffusion;gan;leedl-tutorial;machine-learning;network-compression;pruning,2026-05-27,NOASSERTION
github_0033,easy-vibe,datawhalechina/easy-vibe,https://github.com/datawhalechina/easy-vibe,💻 vibe coding 2026 | Your first modern Coding course for beginners to master step by step.,datawhalechina,14936,1425,JavaScript,en,大语言模型;LLM,beginner,agent;ai;coding;course;deepseek;gemini;genai;gpt;llm;low-code,2026-05-28,
github_0066,nlp-tutorial,graykode/nlp-tutorial,https://github.com/graykode/nlp-tutorial,Natural Language Processing Tutorial for Deep Learning Researchers,graykode,14897,3952,Jupyter Notebook,en,BERT;NLP;预训练模型,intermediate,attention;bert;natural-language-processing;nlp;paper;pytorch;tensorflow;transformer;tutorial,2026-05-27,MIT
github_0021,ai-guide,liyupi/ai-guide,https://github.com/liyupi/ai-guide,程序员鱼皮的 AI 资源大全 + Vibe Coding 零基础教程，分享 OpenClaw 保姆级教程、大模型玩法（DeepSeek / GPT / Gemini / Claude）、最新 AI 资讯、Prompt 提示词大全、AI 知识百科（Agent Skills / RAG / MCP / A2A）、AI 编程教程（Harness Engineering）、AI 工具用法（Cursor /,liyupi,14673,1661,JavaScript,zh,Prompt Engineering;提示词工程,beginner,ai;algorithm;artificial-intelligence;chatgpt;claude;cursor;deep-learning;deepseek;gemini;generative-ai,2026-05-28,
github_0074,easy-rl,datawhalechina/easy-rl,https://github.com/datawhalechina/easy-rl,强化学习中文教程（蘑菇书🍄），在线阅读地址：https://datawhalechina.github.io/easy-rl/,datawhalechina,14232,2254,Jupyter Notebook,zh,中文教程;数据科学;机器学习,intermediate,a3c;ddpg;deep-reinforcement-learning;double-dqn;dqn;dueling-dqn;easy-rl;imitation-learning;policy-gradient;ppo,2026-05-27,NOASSERTION
github_0075,llm-universe,datawhalechina/llm-universe,https://github.com/datawhalechina/llm-universe,本项目是一个面向小白开发者的大模型应用开发教程，在线阅读地址：https://datawhalechina.github.io/llm-universe/,datawhalechina,13121,1344,Jupyter Notebook,zh,中文教程;数据科学;机器学习,intermediate,langchain;rag,2026-05-28,
github_0092,nlp_course,yandexdataschool/nlp_course,https://github.com/yandexdataschool/nlp_course,YSDA course in Natural Language Processing,yandexdataschool,10561,2749,Jupyter Notebook,en,NLP;自然语言处理,intermediate,,2026-05-27,MIT
github_0088,mit-deep-learning,lexfridman/mit-deep-learning,https://github.com/lexfridman/mit-deep-learning,"Tutorials, assignments, and competitions for MIT Deep Learning related courses.",lexfridman,10443,2205,Jupyter Notebook,en,深度学习;神经网络,intermediate,artificial-intelligence;data-science;deep-learning;deep-reinforcement-learning;deep-rl;deeplearning;jupyter-notebooks;machine-learning;mit;neural-networks,2026-05-25,MIT
github_0089,stanford-tensorflow-tutorials,chiphuyen/stanford-tensorflow-tutorials,https://github.com/chiphuyen/stanford-tensorflow-tutorials,This repository contains code examples for the Stanford's course: TensorFlow for Deep Learning Research. ,chiphuyen,10380,4256,Python,en,深度学习;神经网络,intermediate,chatbot;course-materials;deep-learning;machine-learning;natural-language-processing;nlp;python;stanford;tensorflow;tutorial,2026-05-25,MIT
github_0007,LangChain-Chinese-Getting-Started-Guide,liaokongVFX/LangChain-Chinese-Getting-Started-Guide,https://github.com/liaokongVFX/LangChain-Chinese-Getting-Started-Guide,LangChain 的中文入门教程,liaokongVFX,9005,707,,zh,LangChain;LLM应用,beginner,aigc;chatgpt;langchain;openai;openai-api,2026-05-27,
github_0082,catboost,catboost/catboost,https://github.com/catboost/catboost,"A fast, scalable, high performance Gradient Boosting on Decision Trees library, used for ranking, classification, regression and other machine learning tasks for Python, R, Java, C++. Supports computa",catboost,8964,1292,C++,en,机器学习;Python,intermediate,big-data;catboost;categorical-features;coreml;cuda;data-mining;data-science;decision-trees;gbdt;gbm,2026-05-27,Apache-2.0
github_0083,machine_learning_examples,lazyprogrammer/machine_learning_examples,https://github.com/lazyprogrammer/machine_learning_examples,A collection of machine learning examples and tutorials.,lazyprogrammer,8879,6415,Python,en,机器学习;Python,intermediate,data-science;deep-learning;machine-learning;natural-language-processing;python;reinforcement-learning,2026-05-27,
github_0076,all-in-rag,datawhalechina/all-in-rag,https://github.com/datawhalechina/all-in-rag,🔍大模型应用开发实战一：RAG 技术全栈指南，在线阅读地址：https://datawhalechina.github.io/all-in-rag/,datawhalechina,7989,3929,Python,zh,中文教程;数据科学;机器学习,intermediate,ai;deepseek;embedding;kimi-k2;langchain;llama-index;llm;milvus;multimodal;neo4j,2026-05-28,
github_0090,deep-learning-coursera,Kulbear/deep-learning-coursera,https://github.com/Kulbear/deep-learning-coursera,Deep Learning Specialization by Andrew Ng on Coursera.,Kulbear,7725,5477,Jupyter Notebook,en,深度学习;神经网络,intermediate,coursera;deep-learning,2026-05-27,MIT
github_0002,Prompt_Engineering,NirDiamant/Prompt_Engineering,https://github.com/NirDiamant/Prompt_Engineering,"22 prompt engineering techniques with hands-on Jupyter Notebook tutorials, from fundamental concepts to advanced strategies for leveraging LLMs.",NirDiamant,7545,973,Jupyter Notebook,en,LangChain;LLM应用,advanced,ai;chatgpt;claude;genai;langchain;llm;llms;openai;prompt-engineering;prompting,2026-05-28,NOASSERTION
github_0003,langchain-tutorials,gkamradt/langchain-tutorials,https://github.com/gkamradt/langchain-tutorials,Overview and tutorial of the LangChain Library,gkamradt,7447,2024,Jupyter Notebook,en,LangChain;LLM应用,intermediate,,2026-05-27,
github_0077,fun-rec,datawhalechina/fun-rec,https://github.com/datawhalechina/fun-rec,推荐系统入门教程，在线阅读地址：https://datawhalechina.github.io/fun-rec/,datawhalechina,7131,1009,Python,zh,中文教程;数据科学;机器学习,beginner,algorithm-engineering;deep-learning;interview-questions;machine-learning;recommendation-algorithms;recommender-system;tensorflow;tianchi-competition,2026-05-27,
github_0067,TensorFlow-2.x-Tutorials,dragen1860/TensorFlow-2.x-Tutorials,https://github.com/dragen1860/TensorFlow-2.x-Tutorials,"TensorFlow 2.x version's  Tutorials and Examples, including CNN, RNN, GAN, Auto-Encoders, FasterRCNN, GPT, BERT examples, etc. TF 2.0版入门实例代码，实战教程。",dragen1860,6354,2195,Jupyter Notebook,zh,BERT;NLP;预训练模型,beginner,artificial-intelligence;computer-vision;deep-learning;machine-learning;neural-network;nlp;tensorflow;tensorflow-2;tensorflow-examples;tensorflow-tutorials,2026-05-19,
github_0091,tensorflow-deep-learning,mrdbourke/tensorflow-deep-learning,https://github.com/mrdbourke/tensorflow-deep-learning,All course materials for the Zero to Mastery Deep Learning with TensorFlow course.,mrdbourke,5902,2829,Jupyter Notebook,en,深度学习;神经网络,intermediate,curriculum;deep-learning;deep-neural-networks;tensorflow;tensorflow-course;tensorflow-tutorials;tensorflow2,2026-05-25,MIT
github_0004,AgentGuide,adongwanai/AgentGuide,https://github.com/adongwanai/AgentGuide,https://adongwanai.github.io/AgentGuide | AI Agent开发指南 | LangGraph实战 | 高级RAG | 转行大模型 | 大模型面试 | 算法工程师 | 面试题库 | 强化学习｜数据合成,adongwanai,5259,522,HTML,zh,LangChain;LLM应用,advanced,agenticrag;ai-agent;crewai;graphrag;grpo;interview;job-hunting;langchain;llm;multi-agent,2026-05-28,
github_0022,Learn_Prompting,trigaten/Learn_Prompting,https://github.com/trigaten/Learn_Prompting,"Prompt Engineering, Generative AI, and LLM Guide by Learn Prompting | Join our discord for the largest Prompt Engineering learning community",trigaten,4696,668,MDX,en,Prompt Engineering;提示词工程,intermediate,chatgpt;chatgpt-api;deep-learning;gpt-3;gpt-4;gpt-4-api;gpt3;large-language-models;llm;machine-learning,2026-05-27,NOASSERTION
github_0068,pytorch-sentiment-analysis,bentrevett/pytorch-sentiment-analysis,https://github.com/bentrevett/pytorch-sentiment-analysis,Tutorials on getting started with PyTorch and TorchText for sentiment analysis.,bentrevett,4607,1175,Jupyter Notebook,en,BERT;NLP;预训练模型,intermediate,bert;cnn;cnn-text-classification;fasttext;lstm;lstm-sentiment-analysis;natural-language-processing;nlp;pytorch;pytorch-nlp,2026-05-26,MIT
github_0084,Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,https://github.com/TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,A comprehensive list of Deep Learning / Artificial Intelligence and Machine Learning tutorials - rapidly expanding into areas of AI/Deep Learning / Machine Vision / NLP and industry specific areas suc,TarrySingh,3993,1638,Python,en,机器学习;Python,intermediate,artificial-intelligence;aws;capsule-network;convolutional-neural-networks;deep-learning;ipython-notebook;kaggle;keras;lua;machine-learning,2026-05-25,NOASSERTION
github_0078,thorough-pytorch,datawhalechina/thorough-pytorch,https://github.com/datawhalechina/thorough-pytorch,PyTorch入门教程，在线阅读地址：https://datawhalechina.github.io/thorough-pytorch/,datawhalechina,3650,548,Jupyter Notebook,zh,中文教程;数据科学;机器学习,beginner,deep-learning;machine-learning;python;pytorch,2026-05-28,NOASSERTION
github_0085,machine-learning,ethen8181/machine-learning,https://github.com/ethen8181/machine-learning,:earth_americas: machine learning tutorials (mainly in Python3) ,ethen8181,3442,668,HTML,en,机器学习;Python,intermediate,data-science;deep-learning;jupyter-notebook;machine-learning;python;python3,2026-05-26,MIT
github_0086,Machine-Learning-with-Python,tirthajyoti/Machine-Learning-with-Python,https://github.com/tirthajyoti/Machine-Learning-with-Python,Practice and tutorial-style notebooks  covering wide variety of machine learning techniques,tirthajyoti,3314,1835,Jupyter Notebook,en,机器学习;Python,intermediate,artificial-intelligence;classification;clustering;data-science;decision-trees;deep-learning;dimensionality-reduction;flask;k-nearest-neighbours;machine-learning,2026-05-27,BSD-2-Clause
github_0023,Awesome-Context-Engineering,Meirtz/Awesome-Context-Engineering,https://github.com/Meirtz/Awesome-Context-Engineering," 🔥 Comprehensive survey on Context Engineering: from prompt engineering to production-grade AI systems. hundreds of papers, frameworks, and  implementation guides for LLMs and AI agents.",Meirtz,3155,234,,en,Prompt Engineering;提示词工程,advanced,agent;agentic-ai;agi;awesome-list;cognitive-science;context-engineering;llm;rag,2026-05-26,MIT
github_0102,pytorch-beginner,L1aoXingyu/pytorch-beginner,https://github.com/L1aoXingyu/pytorch-beginner,pytorch tutorial for beginners,L1aoXingyu,3043,1087,Python,en,PyTorch;深度学习,beginner,pytorch;pytorch-tutorial,2026-05-27,
github_0069,Getting-Things-Done-with-Pytorch,curiousily/Getting-Things-Done-with-Pytorch,https://github.com/curiousily/Getting-Things-Done-with-Pytorch,"Jupyter Notebook tutorials on solving real-world problems with Machine Learning & Deep Learning using PyTorch. Topics: Face detection with Detectron 2, Time Series anomaly detection with LSTM Autoenco",curiousily,2491,645,Jupyter Notebook,en,BERT;NLP;预训练模型,intermediate,anomaly-detection;bert;computer-vision;coronavirus;deep-learning;face-detection;face-recognition;lstm;machine-learning;nlp,2026-05-25,Apache-2.0
github_0079,statistical-learning-method-solutions-manual,datawhalechina/statistical-learning-method-solutions-manual,https://github.com/datawhalechina/statistical-learning-method-solutions-manual,机器学习方法习题解答，在线阅读地址：https://datawhalechina.github.io/statistical-learning-method-solutions-manual,datawhalechina,2061,255,Jupyter Notebook,zh,中文教程;数据科学;机器学习,intermediate,machine-learning;statistical-learning-method,2026-05-26,NOASSERTION
github_0005,langchain-kr,teddylee777/langchain-kr,https://github.com/teddylee777/langchain-kr,"LangChain 공식 Document, Cookbook, 그 밖의 실용 예제를 바탕으로 작성한 한국어 튜토리얼입니다. 본 튜토리얼을 통해 LangChain을 더 쉽고 효과적으로 사용하는 방법을 배울 수 있습니다.",teddylee777,2020,736,Jupyter Notebook,en,LangChain;LLM应用,intermediate,chatgpt;chatgpt-api;cookbook;generative-ai;gpt-3;gpt-4;huggingface;langchain;langchain-python;openai,2026-05-25,Apache-2.0
github_0024,StableDiffusionBook,sudoskys/StableDiffusionBook,https://github.com/sudoskys/StableDiffusionBook,How do we integrate AI generation tools into actual work? | 关于 Ai 绘画的Wiki | Wiki about Ai painting | Prompts Engineering| 指南 Guide | Seeking Maintainer&Translator🙌,sudoskys,1972,118,HTML,zh,Prompt Engineering;提示词工程,intermediate,aiart;stable-diffusion;stable-diffusion-tutorial;stable-diffusion-webui;stablediffusion,2026-05-23,NOASSERTION
